patois,francese,italiano,audio
abitèn,habitant,abitante,https://www.patoisvda.org/asset/0000055749.mp3
abonemèn,abonnement,abbonamento,https://www.patoisvda.org/asset/0000052769.mp3
abro,arbre,albero,https://www.patoisvda.org/asset/0000053066.mp3
achoùn,action,azione,https://www.patoisvda.org/asset/0000052833.mp3
achuranse,assurance,assicurazione,https://www.patoisvda.org/asset/0000053122.mp3
acoutà (acouté),écouté (écouter),ascoltato (ascoltare),https://www.patoisvda.org/asset/0000065643.mp3
acouté,écouter,ascoltare,https://www.patoisvda.org/asset/0000065641.mp3
adjeu,adieu,addio,https://www.patoisvda.org/asset/0000052841.mp3
adresse,adresse,indirizzo,https://www.patoisvda.org/asset/0000052849.mp3
adzo,âge,età,https://www.patoisvda.org/asset/0000052869.mp3
aéropor,aéroport,aeroporto,https://www.patoisvda.org/asset/0000052857.mp3
affére,affaire,affare,https://www.patoisvda.org/asset/0000052863.mp3
agoutà (agouté),goûté (goûter),assaggiato (assaggiare),https://www.patoisvda.org/asset/0000065706.mp3
agouté,goûter,assaggiare,https://www.patoisvda.org/asset/0000065704.mp3
agriculteur,agriculteur,agricoltore,https://www.patoisvda.org/asset/0000052871.mp3
aille,aigle,aquila,https://www.patoisvda.org/asset/0000052877.mp3
aille,ail,aglio,https://www.patoisvda.org/asset/0000052887.mp3
ajétif,adjectif,aggettivo,https://www.patoisvda.org/asset/0000052847.mp3
ala,aile,ala,https://www.patoisvda.org/asset/0000090176.mp3
alcol,alcool,alcool,https://www.patoisvda.org/asset/0000052918.mp3
allà (allé),allé (aller),andato (andare),https://www.patoisvda.org/asset/0000065416.mp3
allé,aller,andare,https://www.patoisvda.org/asset/0000065414.mp3
allemà (allemé),allumé (allumer),acceso (accendere),https://www.patoisvda.org/asset/0000065421.mp3
allemé,allumer,accendere,https://www.patoisvda.org/asset/0000065417.mp3
allemetta,allumette,fiammifero,https://www.patoisvda.org/asset/0000052922.mp3
alleveur,éleveur,allevatore,https://www.patoisvda.org/asset/0000055415.mp3
almanaque,almanach,almanacco,https://www.patoisvda.org/asset/0000052924.mp3
alpadzo,alpage,alpeggio,https://www.patoisvda.org/asset/0000052926.mp3
alpadzo,bâtiment d'alpage,alpeggio,https://www.patoisvda.org/asset/0000052929.mp3
ama,âme,anima,https://www.patoisvda.org/asset/0000052936.mp3
ambereui,nombril,ombelico,https://www.patoisvda.org/asset/0000090253.mp3
ambrocalle,myrtille,mirtillo,https://www.patoisvda.org/asset/0000056483.mp3
amenda,amende,multa (ammenda),https://www.patoisvda.org/asset/0000052938.mp3
amer,amer,amaro,https://www.patoisvda.org/asset/0000058594.mp3
amitchì,amitié,amicizia,https://www.patoisvda.org/asset/0000052940.mp3
amour,amour,amore,https://www.patoisvda.org/asset/0000052942.mp3
ampoue,framboise,lampone,https://www.patoisvda.org/asset/0000055634.mp3
an,an,anno,https://www.patoisvda.org/asset/0000052946.mp3
andzo,ange,angelo,https://www.patoisvda.org/asset/0000052950.mp3
angle,angle,angolo,https://www.patoisvda.org/asset/0000052952.mp3
angré,engrais,concime (fertilizzante),https://www.patoisvda.org/asset/0000055435.mp3
aniverséro,anniversaire,compleanno,https://www.patoisvda.org/asset/0000052958.mp3
ano,âne,asino,https://www.patoisvda.org/asset/0000052948.mp3
àouille,aiguille,ago,https://www.patoisvda.org/asset/0000052883.mp3
aoula,chaudron en fonte,paiolo,https://www.patoisvda.org/asset/0000054558.mp3
aoutón,automne,autunno,https://www.patoisvda.org/asset/0000053134.mp3
aouva,heure,ora,https://www.patoisvda.org/asset/0000055768.mp3
aouvré,ouvrier,operaio,https://www.patoisvda.org/asset/0000056781.mp3
aouzé,oiseau,uccello,https://www.patoisvda.org/asset/0000056656.mp3
appartemèn,appartement,appartamento,https://www.patoisvda.org/asset/0000052963.mp3
abitèn,habitant,abitante,https://www.patoisvda.org/asset/0000055749.mp3
abonemèn,abonnement,abbonamento,https://www.patoisvda.org/asset/0000052769.mp3
abro,arbre,albero,https://www.patoisvda.org/asset/0000053066.mp3
achoùn,action,azione,https://www.patoisvda.org/asset/0000052833.mp3
achuranse,assurance,assicurazione,https://www.patoisvda.org/asset/0000053122.mp3
acoutà (acouté),écouté (écouter),ascoltato (ascoltare),https://www.patoisvda.org/asset/0000065643.mp3
acouté,écouter,ascoltare,https://www.patoisvda.org/asset/0000065641.mp3
adjeu,adieu,addio,https://www.patoisvda.org/asset/0000052841.mp3
adresse,adresse,indirizzo,https://www.patoisvda.org/asset/0000052849.mp3
adzo,âge,età,https://www.patoisvda.org/asset/0000052869.mp3
aéropor,aéroport,aeroporto,https://www.patoisvda.org/asset/0000052857.mp3
affére,affaire,affare,https://www.patoisvda.org/asset/0000052863.mp3
agoutà (agouté),goûté (goûter),assaggiato (assaggiare),https://www.patoisvda.org/asset/0000065706.mp3
agouté,goûter,assaggiare,https://www.patoisvda.org/asset/0000065704.mp3
agriculteur,agriculteur,agricoltore,https://www.patoisvda.org/asset/0000052871.mp3
aille,aigle,aquila,https://www.patoisvda.org/asset/0000052877.mp3
aille,ail,aglio,https://www.patoisvda.org/asset/0000052887.mp3
ajétif,adjectif,aggettivo,https://www.patoisvda.org/asset/0000052847.mp3
ala,aile,ala,https://www.patoisvda.org/asset/0000090176.mp3
alcol,alcool,alcool,https://www.patoisvda.org/asset/0000052918.mp3
allà (allé),allé (aller),andato (andare),https://www.patoisvda.org/asset/0000065416.mp3
allé,aller,andare,https://www.patoisvda.org/asset/0000065414.mp3
allemà (allemé),allumé (allumer),acceso (accendere),https://www.patoisvda.org/asset/0000065421.mp3
allemé,allumer,accendere,https://www.patoisvda.org/asset/0000065417.mp3
allemetta,allumette,fiammifero,https://www.patoisvda.org/asset/0000052922.mp3
alleveur,éleveur,allevatore,https://www.patoisvda.org/asset/0000055415.mp3
almanaque,almanach,almanacco,https://www.patoisvda.org/asset/0000052924.mp3
alpadzo,alpage,alpeggio,https://www.patoisvda.org/asset/0000052926.mp3
alpadzo,bâtiment d'alpage,alpeggio,https://www.patoisvda.org/asset/0000052929.mp3
ama,âme,anima,https://www.patoisvda.org/asset/0000052936.mp3
ambereui,nombril,ombelico,https://www.patoisvda.org/asset/0000090253.mp3
ambrocalle,myrtille,mirtillo,https://www.patoisvda.org/asset/0000056483.mp3
amenda,amende,multa (ammenda),https://www.patoisvda.org/asset/0000052938.mp3
amer,amer,amaro,https://www.patoisvda.org/asset/0000058594.mp3
amitchì,amitié,amicizia,https://www.patoisvda.org/asset/0000052940.mp3
amour,amour,amore,https://www.patoisvda.org/asset/0000052942.mp3
ampoue,framboise,lampone,https://www.patoisvda.org/asset/0000055634.mp3
